DepthBin,Date,Time,Latitude,Longitude,Year,gm2
110,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,3.837617933
120,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0
130,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0
140,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0
150,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0
160,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0
170,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0
180,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0
190,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0
200,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0
210,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0
220,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0
230,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0
240,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0
10,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0
20,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0
30,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0.10766315
40,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0.105878019
50,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0.190018791
60,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0.333832983
70,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,7.226693905
80,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,1.430094461
90,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,1.691903389
100,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,1.33209757
110,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0
120,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0.855123411
130,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0
140,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0
150,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0
160,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0
170,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0
180,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0
190,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0
200,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0
210,1/13/2009,10:32:30,-62.56020857,-62.38883085,2009,0
